Flight Information:
Launch Date:            	     	                        	Saturday, 13 November 2021	     	                   	           	Launch Time: 	       	            	17:35:41  	       	     	End of Ascent:	     	         	01:22:17
Station name:           	     	                        	ECLIPSE 2020              	     	                   	           	Serialnumber:	       	            	20027744
Ground values:
Pressure:               	     	                        	969.0 hPa                 	     	                   	           	Temperature: 	       	            	4.0 °C    	       	     	Humidity:     	     	         	83 %
Wind Direction:         	     	                        	0 °                       	     	                   	           	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                        	-119.285 °                	     	                   	           	Latitude:    	       	            	47.612 °  	       	     	Altitude:     	     	         	486 m
Staff:
Company:                	     	                        	
Operator:               	     	                        	                          	     	                   	           	
Events:
Highest Point:          	     	                        	33.3 hPa                  	     	                   	           	23192 m
Tropopauses:            	     	                        	1.: 191.7 hPa             	     	                   	           	             	       	            	
Max Winds:              	     	                        	1.: 210.5 hPa             	     	                   	           	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                       	Hu                        	Ws   	Wd                 	Long.      	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                    	[%]                       	[m/s]	[°]                	[°]        	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	969.0	4.0                     	83                        	0.0  	000                	-119.284950	47.612065    	486    	486         	351.583   	275.343	1.4  	4.7           	0.0  	47.6     	360     	1      	1.218224
1                       	968.9	4.1                     	83                        	0.0  	224                	-119.284951	47.612063    	486    	486         	351.530   	275.212	1.6  	4.9           	0.5  	74.1     	330     	1      	1.217553
2                       	968.9	4.3                     	84                        	0.0  	224                	-119.284953	47.612062    	487    	487         	351.461   	275.081	1.8  	5.0           	0.5  	78.3     	286     	1      	1.216883
3                       	968.8	4.4                     	84                        	0.0  	224                	-119.284955	47.612061    	487    	487         	351.409   	274.950	2.0  	5.2           	0.5  	77.6     	259     	2      	1.216214
4                       	968.8	4.5                     	85                        	0.0  	224                	-119.284956	47.612059    	488    	488         	351.356   	274.819	2.2  	5.3           	0.5  	76.2     	247     	2      	1.215546
5                       	968.7	4.7                     	85                        	0.0  	224                	-119.284958	47.612058    	488    	488         	351.288   	274.688	2.4  	5.5           	0.5  	74.5     	240     	3      	1.214878
6                       	968.7	4.8                     	86                        	0.0  	224                	-119.284960	47.612057    	488    	488         	351.236   	274.557	2.6  	5.6           	0.5  	73.6     	236     	3      	1.214211
7                       	968.6	4.9                     	86                        	0.0  	224                	-119.284962	47.612055    	489    	489         	351.248   	274.491	2.8  	5.7           	0.5  	73.0     	233     	4      	1.213827
8                       	968.6	4.9                     	86                        	0.0  	224                	-119.284963	47.612054    	489    	489         	351.253   	274.433	2.8  	5.7           	0.5  	72.1     	232     	4      	1.213583
9                       	968.5	5.0                     	86                        	0.0  	224                	-119.284965	47.612052    	490    	490         	351.274   	274.376	2.8  	5.8           	0.5  	71.7     	230     	5      	1.213339
10                      	968.4	5.0                     	86                        	0.0  	224                	-119.284967	47.612051    	490    	490         	351.295   	274.318	2.9  	5.8           	0.5  	71.4     	229     	5      	1.213096
