Time(s),Voltage(mV),Current(mA),solar,Temp(C)
4,17301.25,13.75,10,6.11
9,17298.75,12.5,10,5.53
14,17295.0,13.75,10,5.38
19,17290.0,12.5,10,5.82
25,17281.25,11.25,10,6.11
30,17270.0,5.0,10,6.4
35,17277.5,7.5,9,6.25
40,17297.5,11.25,5,5.96
45,17275.0,5.0,10,5.82
50,17087.5,0.0,10,5.82
56,17297.5,11.25,10,6.25
61,17290.0,11.25,10,6.11
66,17300.0,13.75,10,6.25
71,17300.0,13.75,10,6.4
76,17295.0,12.5,10,6.4
81,17298.75,11.25,10,5.96
87,17297.5,11.25,10,5.82
92,17293.75,11.25,10,5.96
97,17297.5,11.25,10,6.11
102,17301.25,12.5,10,6.11
107,17295.0,11.25,10,6.25
112,17287.5,8.75,10,5.82
117,17273.75,6.25,10,5.67
123,17301.25,11.25,10,5.24
128,17296.25,10.0,10,5.24
133,17295.0,10.0,10,5.24
138,17302.5,13.75,10,5.24
143,17306.25,13.75,10,5.53
149,17283.75,8.75,10,5.24
154,17281.25,7.5,10,5.1
159,17252.5,1.25,10,5.1
164,17258.75,1.25,9,5.53
169,17268.75,6.25,9,5.24
174,17260.0,3.75,9,5.24
179,17266.25,5.0,9,5.53
185,17261.25,3.75,9,5.96
190,17272.5,6.25,9,5.67
195,17276.25,7.5,9,5.38
200,17270.0,5.0,9,5.24
205,17270.0,3.75,9,5.67
210,17260.0,5.0,9,5.82
216,17248.75,2.5,9,5.96
221,17252.5,0.0,9,6.11
226,17256.25,1.25,9,6.25
231,17258.75,2.5,9,6.25
236,17257.5,1.25,9,6.25
241,17221.25,0.0,9,5.96
246,17268.75,6.25,9,6.25
252,16841.25,-1.25,9,6.11
257,17086.25,0.0,9,5.82
262,16835.0,0.0,6,5.82
267,17253.75,2.5,8,5.82
272,17273.75,6.25,0,5.82
278,17085.0,0.0,9,5.53
283,15452.5,0.0,9,5.53
288,15048.75,0.0,7,5.96
293,16565.0,0.0,7,6.25
298,16776.25,0.0,7,6.25
303,16215.0,1.25,8,6.25
308,17253.75,0.0,8,6.25
314,17273.75,6.25,9,5.96
319,16556.25,1.25,8,5.82
324,17041.25,0.0,9,5.82
329,17205.0,0.0,7,5.67
334,17245.0,1.25,8,5.96
340,16093.75,1.25,8,6.4
345,15411.25,0.0,8,6.4
350,15218.75,1.25,7,6.4
355,15257.5,0.0,8,6.55
360,15841.25,0.0,7,6.25
365,15733.75,2.5,1,6.11
370,15902.5,-1.25,0,6.25
376,16491.25,-1.25,9,5.96
381,16493.75,0.0,9,5.96
386,15715.0,0.0,9,5.67
391,15942.5,1.25,8,5.24
396,16025.0,0.0,8,5.24
401,17156.25,0.0,7,5.24
407,16118.75,1.25,9,5.1
412,15868.75,0.0,7,5.24
417,16270.0,0.0,7,5.38
422,16181.25,-1.25,7,5.53
427,16476.25,0.0,7,5.38
432,16445.0,-2.5,7,5.24
437,16397.5,0.0,7,5.24
443,16835.0,1.25,7,5.38
448,15805.0,-1.25,0,5.24
453,15951.25,-1.25,3,5.53
458,16148.75,0.0,2,5.53
